nr;navn;legend;farve
0;100_Terraen.grd;Terræn;rgb(0,0,0)
1;101_Postglacial_toerv_Bund_Adjusted11032019.grd;Bund af Postglacial Tørv;rgb(222,255,0)
2;200_Kvartaer_sand_Bund_Adjusted11032019.grd;Bund af Kvartær Sand;rgb(191,97,64)
3;300_Kvartaer_ler_Bund_Adjusted11032019.grd;Bund af Kvartær Ler;rgb(219,184,0)
4;400_Kvartaer_sand_Bund_Adjusted11032019.grd;Bund af Kvartær Sand;rgb(191,97,64)
5;1100_Kvartaer_ler_Bund_Adjusted11032019.grd;Bund af Kvartær Ler;rgb(219,184,0)
6;1200_Kvartaer_sand_Bund_Adjusted11032019.grd;Bund af Kvartær Sand;rgb(191,97,64)
7;1300_Kvartaer_ler_Bund_Adjusted11032019.grd;Bund af Kvartær Ler;rgb(219,184,0)
8;1400_Kvartaer_sand_Bund_Adjusted11032019.grd;Bund af Kvartær Sand;rgb(191,97,64)
9;1500_Kvartaer_ler_Bund_Adjusted11032019.grd;Bund af Kvartær Ler;rgb(219,184,0)
10;2100_Kvartaer_sand_Bund_Adjusted11032019.grd;Bund af Kvartær Sand;rgb(191,97,64)
11;2200_Kvartaer_ler_Bund_Adjusted11032019.grd;Bund af Kvartær Ler;rgb(219,184,0)
12;2300_Kvartaer_sand_Bund_Adjusted11032019.grd;Bund af Kvartær Sand;rgb(191,97,0)
13;2400_Kvartaer_ler_Bund_Adjusted11032019.grd;Bund af Kvartær Ler;rgb(219,184,0)
14;5100_Maadegruppen_Gram_og_Hodde_Bund_Adjusted11032019.grd;Bund af Mådegruppen Gram og Hodde;rgb(147,203,255)
15;5200_Oevre_Odderup_ODS3_Bund_Adjusted11032019.grd;Bund af Øvre Odderup Sand;rgb(0,94,255)
16;5300_Oevre_Arnum_ARL3_Bund_Adjusted11032019.grd;Bund af Øvre Arnum Ler;rgb(147,203,255)
17;5400_Nedre_Odderup_ODS2_Bund_Adjusted11032019.grd;Bund af Nedre Odderup Sand;rgb(0,94,255)
18;5500_Nedre_Arnum_ARL2_Bund_Adjusted11032019.grd;Bund af Nedre Arnum Ler;rgb(147,203,255)
19;5600_Bastrup_BADS6_Bund_Adjusted11032019.grd;Bund af Bastrup Sand;rgb(255,51,51)
20;5700_Klintinghoved_KRL6_Bund_Adjusted11032019.grd;Bund af Klintinghoved Ler;rgb(255,179,179)
21;5800_Bastrup_BADS5_Bund_Adjusted11032019.grd;Bund af Bastrup Sand;rgb(255,51,51)
22;5900_Klintinghoved_KRL5_Bund_Adjusted11032019.grd;Bund af Klintinghoved Ler;rgb(255,179,179)
23;6000_Bastrup_BADS4_Bund_Adjusted11032019.grd;Bund af Bastrup Sand;rgb(255,51,51)
24;6100_Klintinghoved_KRL4_Bund_Adjusted11032019.grd;Bund af Klintinghoved Ler;rgb(255,179,179)
25;6200_Bastrup_BADS3_Bund_Adjusted11032019.grd;Bund af Bastrup Sand;rgb(255,51,51)
26;6300_Klintinghoved_KRL3_Bund_Adjusted11032019.grd;Bund af Klintinghoved Ler;rgb(255,179,179)
27;6400_Bastrup_BADS2_Bund_Adjusted11032019.grd;Bund af Bastrup Sand;rgb(255,51,51)
28;6500_Klintinghoved_KRL2_Bund_Adjusted11032019.grd;Bund af Klintinghoved Ler;rgb(255,179,179)
29;6600_Bastrup_BADS1_Bund_Adjusted11032019.grd;Bund af Bastrup Sand;rgb(255,51,51)
30;6700_Klintinghoved_KRL1_Vejle_Fjord_Bund_Adjusted11032019.grd;Bund af Klintinghoved Ler;rgb(255,179,179)
31;6800_Billund_BDS6_BDS9_Bund_Adjusted11032019.grd;Bund af Billund Sand;rgb(63,231,234)
32;6900_Vejle_Fjord_VFL6_Bund_Adjusted11032019.grd;Bund af Vejle Fjord Ler;rgb(0,155,158)
33;7000_Billund_BDS4_BDS5_Bund_Adjusted11032019.grd;Bund af Billund Sand;rgb(63,231,234)
34;7100_Vejle_Fjord_VFL4_Bund_Adjusted11032019.grd;Bund af Vejle Fjord Ler;rgb(0,155,158)
35;7200_Billund_BDS3_Bund_Adjusted11032019.grd;Bund af Billund Sand;rgb(63,231,234)
36;7300_Vejle_Fjord_VFL3_Bund_Adjusted11032019.grd;Bund af Vejle Fjord Ler;rgb(0,155,158)
37;7400_Billund_BDS2_Bund_Adjusted11032019.grd;Bund af Billund Sand;rgb(63,231,234)
38;7500_Vejle_Fjord_VFL2_Bund_Adjusted11032019.grd;Bund af Vejle Fjord Ler;rgb(0,155,158)
39;7600_Billund_BDS1_Bund_Adjusted11032019.grd;Bund af Billund Sand;rgb(63,231,234)
40;7700_Vejle_Fjord_VFL1_Bund_Adjusted11032019.grd;Bund af Vejle Fjord Ler;rgb(0,155,158)
41;7800_Billund_BDS0_Bund_Adjusted11032019.grd;Bund af Billund Sand;rgb(63,231,234)
42;8000_Palaeogen_ler_Bund_Adjusted11032019.grd;Bund af Palæogen Ler;rgb(0,155,158)
43;8500_Danien_Kalk_Bund_Adjusted11032019.grd;Bund af Danien Kalk;rgb(128,255,153)
44;9000_Skrivekridt_Bund_Adjusted11032019.grd;Bund af Skrivekridt;rgb(0,116,25)
45;9500_Stensalt_Bund_Adjusted11032019.grd;Bund af Stensalt;rgb(252,191,252)
