symbol	tekst	rgba
dk	campanien-maastrichtien kalksten	rgba(128, 255, 153,1)
sk	campanien-maastrichtien skrivekridt	rgba(128, 255, 153,1)
yi	senglacial saltvandssilt	rgba(135, 77, 255,1)
yl	senglacial saltvandsler	rgba(135, 77, 255,1)
yv	senglacial vekslende små saltvandslag	rgba(135, 77, 255,1)
qi	interglacial, interstadial saltvandssilt	rgba(173, 217, 38,1)
ql	interglacial, interstadial saltvandsler	rgba(173, 217, 38,1)
jv	lias vekslende små lag	rgba(178, 255, 230,1)
ui	dogger-malm silt	rgba(178, 255, 230,1)
uj	dogger-malm lerjernsten	rgba(178, 255, 230,1)
ul	dogger-malm ler	rgba(178, 255, 230,1)
us	dogger-malm sand	rgba(178, 255, 230,1)
uv	dogger-malm vekslende små lag	rgba(178, 255, 230,1)
ol	oligocæn ler	rgba(179, 255, 255,1)
al	turonien ler, ler i arnager kalk	rgba(179, 255, 153,1)
av	turonien vekslende små lag	rgba(179, 255, 153,1)
gl	oligo-,mio-,pliocæn glimmerler	rgba(179, 255, 255,1)
gp	oligo-,mio-,pliocæn brunkul, omlejret	rgba(179, 255, 255,1)
oi	oligocæn silt	rgba(179, 255, 255,1)
hg	postglacial saltvandsgrus	rgba(184, 242, 255,1)
hs	postglacial saltvandssand	rgba(184, 242, 255,1)
vi	nedre kridt silt, silt i jydegård fm	rgba(184, 242, 255,1)
vj	nedre kridt ler-, silt- og lerjernsten	rgba(184, 242, 255,1)
vq	nedre kridt sandsten	rgba(184, 242, 255,1)
vs	nedre kridt sand	rgba(184, 242, 255,1)
wl	nedre kridt ler, ler i jydegård	rgba(184, 242, 255,1)
tk	coniacien-santonien kalksten	rgba(189, 255, 207,1)
ip	interglacial ferskvandsgytje	rgba(191, 191, 191,1)
gk	cenomanien kalk	rgba(191, 255, 0,1)
nl	cenomanien ler, ler i arnager grønsand	rgba(191, 255, 0,1)
mg	glacial morænegrus	rgba(191, 97, 64,1)
ms	glacial morænesand (sandet till,1)	rgba(191, 97, 64,1)
mz	glacial morænesten (stenet till,1)	rgba(191, 97, 64,1)
ys	senglacial saltvandssand	rgba(204, 179, 255,1)
yg	senglacial saltvandsgrus	rgba(204, 179, 255,1)
ti	senglacial ferskvandssilt	rgba(204, 179, 255,1)
tl	senglacial ferskvandsler	rgba(204, 179, 255,1)
ml	glacial moræneler	rgba(219, 184, 0,1)
mv	glacial vekslende små morænelag	rgba(219, 184, 0,1)
bk	danien bryozokalk, koralkalk	rgba(222, 255, 0,1)
fi	postglacial ferskvandssilt	rgba(222, 255, 0,1)
fk	postglacial kildekalk	rgba(222, 255, 0,1)
fl	postglacial ferskvandsler	rgba(222, 255, 0,1)
fp	postglacial ferskvandsgytje	rgba(222, 255, 0,1)
ft	postglacial ferskvandstørv	rgba(222, 255, 0,1)
fv	postglacial vekslende små ferskvandslag	rgba(222, 255, 0,1)
kk	danien kalksandskalk	rgba(222, 255, 0,1)
lk	danien slamkalk, skrivekridt	rgba(222, 255, 0,1)
zk	danien kalk, kalk og flint	rgba(222, 255, 0,1)
ka	kaolin, kalk	rgba(230, 230, 230,1)
oq	oligocæn sandsten, øksenrade sandsten	rgba(230, 250, 250,1)
ts	senglacial ferskvandssand	rgba(232, 204, 255,1)
tt	senglacial ferskvandstørv	rgba(232, 204, 255,1)
mi	glacial morænesilt (siltet till,1)	rgba(235, 204, 173,1)
fs	postglacial ferskvandssand	rgba(240, 250, 230,1)
bl	coniacien-santonien ler, ler i bavnodde	rgba(240, 255, 189,1)
qs	interglacial, interstadial saltvandssand	rgba(245, 245, 199,1)
di	glacial smeltevandssilt	rgba(250, 245, 158,1)
dl	glacial smeltevandsler	rgba(255, 186, 51,1)
dv	glacial vekslende små smeltevandslag	rgba(255, 186, 51,1)
es	postglacial flyvesand	rgba(255, 255, 128,1)
j	lersten, siltsten, okker lerjernsten, al	rgba(200, 200, 200,1)
l	ler	rgba(219, 184, 0,1)
x	ukendt lag, oplysninger mangler 	rgba(200, 200, 200,1)
b	brønd	rgba(200, 200, 200,1)
d	diatomeaflejringer (ikke postglaciale,1)	rgba(200, 200, 200,1)
e	vulkansk aske	rgba(200, 200, 200,1)
g	grus, sand og grus	rgba(200, 200, 200,1)
i	silt klæg, meller	rgba(200, 200, 200,1)
k	kalk, kridt kalksten	rgba(128, 255, 153,1)
m	muld	rgba(80,80,80,1)
o	fyld	rgba(150,150,150,1)
p	gytje, dynd, slam	rgba(200, 200, 200,1)
q	sandsten	rgba(200, 200, 200,1)
r	skifer	rgba(200, 200, 200,1)
s	SAND	rgba(191, 97, 64,1)
t	tørv	rgba(222, 255, 0,1)
u	ler, sand og grus	rgba(200, 200, 200,1)
v	vekslende små lag	rgba(200, 200, 200,1)
z	sten, flint	rgba(200, 200, 200,1)
zl	post/senglacialt, terrestrisk/marint ned	rgba(200, 200, 200,1)
zs	post/senglacialt, terrestrisk/marint ned	rgba(200, 200, 200,1)
